b'MONEDA',b'ME/USD',b'\xe2\x82\xb2 / ME'
b'\n DOLAR AMERICANO\n            \n          ',b'USD',"b'1,0000'","b'3.795,00'"
b'\n MARCO ALEMAN\n            \n          ',b'DEM',"b'2,1919'","b'1.731,37'"
b'\n YEN JAPONES\n            \n          ',b'JPY',"b'123,6700'","b'30,69'"
b'\n LIBRA ESTERLINA\n            \n              *\n          ',b'GBP',"b'1,4363'","b'5.450,76'"
b'\n FRANCO SUIZO\n            \n          ',b'CHF',"b'1,7228'","b'2.202,81'"
b'\n FRANCO FRANCES\n            \n          ',b'FRF',"b'7,3505'","b'516,29'"
b'\n CORONA SUECA\n            \n          ',b'SEK',"b'10,1940'","b'372,28'"
b'\n FLORIN HOLANDES\n            \n          ',b'NLG',"b'2,4694'","b'1.536,81'"
b'\n CORONA DANESA\n            \n          ',b'DKK',"b'8,3643'","b'453,71'"
b'\n PESETA ESPA\xc3\x91OLA\n            \n          ',b'ESP',"b'186,4500'","b'20,35'"
b'\n KRONE (NORUEGA)\n            \n          ',b'NOK',"b'9,0776'","b'418,06'"
b'\n CHELIN AUSTRIACO\n            \n          ',b'ATS',"b'15,4212'","b'246,09'"
b'\n LIRA ITALIANA\n            \n          ',b'ITL',"b'2.169,7300'","b'1,75'"
b'\n FRANCO BELGA\n            \n          ',b'BEF',"b'45,2090'","b'83,94'"
b'\n REAL\n            \n          ',b'BRL',"b'2,2210'","b'1.708,69'"
b'\n PESO ARGENTINO\n            \n          ',b'ARS',"b'0,9992'","b'3.798,04'"
b'\n DOLAR CANADIENSE\n            \n          ',b'CAD',"b'1,5412'","b'2.462,37'"
b'\n RAND SUDAFRICANO\n            \n          ',b'ZAR',"b'7,9600'","b'476,76'"
b'\n             DERECHO ESPECIAL DE GIRO\n            \n              *\n          ',b'SDR',"b'1,2725'","b'4.829,14'"
b'\n ONZA TROY\n            \n              *\n          ',b'XAU',"b'264,2000'","b'1.002.639,00'"
b'\n BOLIVAR FUERTE\n            \n          ',b'VEF',"b'711,4000'","b'5,33'"
b'\n PESO CHILENO\n            \n          ',b'CLP',"b'600,5500'","b'6,32'"
b'\n EURO\n            \n              *\n          ',b'EUR',"b'0,8921'","b'3.385,52'"
b'\n PESO URUGUAYO\n            \n          ',b'UYU',"b'12,9200'","b'293,73'"
